i01	V(vhd)
1.510000000000053e-004	-5.988477e-001
1.520000000000053e-004	-5.990831e-001
1.530000000000053e-004	-5.993171e-001
1.540000000000053e-004	-5.995500e-001
1.550000000000053e-004	-5.997816e-001
1.560000000000053e-004	-6.000120e-001
1.570000000000053e-004	-6.002411e-001
1.580000000000053e-004	-6.004691e-001
1.590000000000053e-004	-6.006959e-001
1.600000000000053e-004	-6.009215e-001
1.610000000000053e-004	-6.011460e-001
1.620000000000053e-004	-6.013693e-001
1.630000000000053e-004	-6.015915e-001
1.640000000000053e-004	-6.018125e-001
1.650000000000053e-004	-6.020325e-001
1.660000000000053e-004	-6.022513e-001
1.670000000000053e-004	-6.024691e-001
1.680000000000053e-004	-6.026857e-001
1.690000000000053e-004	-6.029014e-001
1.700000000000052e-004	-6.031160e-001
1.710000000000052e-004	-6.033295e-001
1.720000000000052e-004	-6.035420e-001
1.730000000000052e-004	-6.037535e-001
1.740000000000052e-004	-6.039640e-001
1.750000000000052e-004	-6.041735e-001
1.760000000000052e-004	-6.043820e-001
1.770000000000052e-004	-6.045895e-001
1.780000000000052e-004	-6.047960e-001
1.790000000000052e-004	-6.050016e-001
1.800000000000052e-004	-6.052063e-001
1.810000000000052e-004	-6.054099e-001
1.820000000000052e-004	-6.056127e-001
1.830000000000052e-004	-6.058145e-001
1.840000000000052e-004	-6.060154e-001
1.850000000000052e-004	-6.062154e-001
1.860000000000052e-004	-6.064146e-001
1.870000000000052e-004	-6.066128e-001
1.880000000000052e-004	-6.068102e-001
1.890000000000052e-004	-6.070066e-001
1.900000000000052e-004	-6.072022e-001
1.910000000000052e-004	-6.073970e-001
1.920000000000052e-004	-6.075909e-001
1.930000000000052e-004	-6.077840e-001
1.940000000000052e-004	-6.079763e-001
1.950000000000052e-004	-6.081676e-001
